Cole Irvin,over,3.5,BetMGM,-125,1.0,4/23/21,W
Jorge Lopez,over,3.5,PointsBet,-164,0.5,4/23/21,L
Jacob deGrom,under,10.5,Caesars,-115,2.4,4/23/21,L
Steven Matz,under,6.5,FanDuel,-210,0.7,4/23/21,L
Tyler Glasnow,under,9.5,FanDuel,-196,1.0,4/23/21,L
Martin Perez,under,5.5,FanDuel,-176,0.3,4/23/21,W
Yusei Kikuchi,over,4.5,Caesars,-130,0.3,4/23/21,L
Jordan Montgomery,over,4.5,BetMGM,-135,0.3,4/23/21,W
Logan Allen,over,3.5,Caesars,-130,0.5,4/23/21,L
Dallas Keuchel,over,4.0,Caesars,-125,0.8,4/24/21,L
Drew Smyly,under,6.5,BetMGM,-145,0.6,4/24/21,P
Madison Bumgarner,under,5.5,BetMGM,-120,0.5,4/24/21,P
Kevin Gausman,over,5.5,Caesars,-130,0.4,4/24/21,W
Pablo Lopez,over,4.5,BetMGM,-130,0.6,4/24/21,W
Blake Snell,under,7.5,Tipico,-130,1.7,4/24/21,W
Trevor Bauer,under,8.5,BetMGM,-145,0.8,4/24/21,L
John Means,under,5.5,BetMGM,-130,0.3,4/25/21
Taijuan Walker,over,4.5,PointsBet,-170,0.3,4/25/21
Eduardo Rodriguez,under,6.5,Tipico,+110,1.4,4/25/21
Jameson Taillon,under,5.5,BetMGM,-155,0.4,4/25/21
Triston McKenzie,under,6.5,BetMGM,-140,0.7,4/25/21
Danny Duffy,under,6.5,Caesars,-130,1.0,4/25/21
Matt Shoemaker,over,4.5,BetMGM,+100,0.2,4/25/21
Dylan Bundy,over,5.5,BetMGM,+120,0.7,4/25/21
Jack Flaherty,under,7.0,Caesars,+100,1.4,4/25/21
Luis Castillo,over,5.5,Caesars,-120,0.7,4/25/21
Brandon Woodruff,under,7.5,BetMGM,-140,0.8,4/25/21
Dustin May,under,5.5,Caesars,-125,0.4,4/25/21
Joe Musgrove,under,6.5,PointsBet,+120,0.4,4/25/21
Jose Berrios,over,5.5,BetMGM,-150,0.2,4/26/21
Zach Plesac,over,5.0,Caesars,+105,1.1,4/26/21
Deivi Garcia,over,4.5,Caesars,-110,0.9,4/26/21
Sean Manaea,under,6.5,FanDuel,-142,1.1,4/26/21
Charlie Morton,under,7.0,Caesars,-120,1.4,4/26/21
Zach Davies,over,3.5,Tipico,-130,0.8,4/26/21
Corbin Burnes,under,9.5,FanDuel,-116,2.6,4/26/21
Trevor Rogers,under,7.5,BetMGM,-110,2.0,4/26/21
Adam Wainwright,over,5.0,Golden Nugget,+100,0.5,4/26/21
Zack Wheeler,over,5.5,BetMGM,-115,0.5,4/26/21
Jordan Lyles,over,3.5,BetMGM,-145,0.5,4/26/21
Justus Sheffield,over,4.5,Golden Nugget,+100,0.5,4/26/21
Austin Gomber,under,4.5,BetMGM,-105,0.2,4/26/21
Julio Urias,under,6.5,BetMGM,-115,1.1,4/26/21
Tyler Mahle,under,6.5,BetMGM,-145,0.6,4/26/21
Aaron Civale,over,4.5,Caesars,-130,0.5,4/27/21
Tyler Anderson,under,5.5,FanDuel,-168,0.4,4/27/21
Bruce Zimmerman,over,3.5,BetMGM,-140,0.5,4/27/21
Corey Kluber,under,5.5,BetMGM,-130,0.4,4/27/21
Bruce Zimmermann,over,3.5,FanDuel,-106,0.7,4/27/21
Frankie Montas,under,6.5,BetMGM,-135,0.9,4/27/21
Michael Wacha,over,4.5,FanDuel,-122,0.4,4/27/21
David Peterson,over,4.5,FanDuel,-116,0.4,4/27/21
Ian Anderson,under,6.5,Caesars,-130,0.6,4/27/21
Trevor Williams,under,5.5,FanDuel,-176,0.5,4/27/21
Carlos Martinez,under,5.5,FanDuel,-215,0.4,4/27/21
Zach Eflin,over,4.5,Tipico,-156,0.4,4/27/21
Jose Quintana,under,6.5,FanDuel,-176,0.7,4/27/21
Cristian Javier,under,6.5,BetMGM,+105,1.0,4/27/21
Marco Gonzales,over,3.5,Tipico,-156,1.0,4/27/21
Jose Urena,over,3.5,FanDuel,-108,0.6,4/27/21
Lucas Giolito,under,8.5,BetMGM,+100,1.0,4/27/21
Chris Paddack,over,4.5,FanDuel,-134,0.4,4/27/21
Merrill Kelly,over,4.5,BetMGM,-105,0.3,4/27/21
Jeff Hoffman,over,3.5,Caesars,-125,0.6,4/27/21
Walker Buehler,under,7.5,BetMGM,-135,1.2,4/27/21
